name,quantity,price ($),total ($),link,Notes
motion,,,,,
nema 17,4,7.99,51.96,https://www.omc-stepperonline.com/nema-17-bipolar-1-8deg-16ncm-22-6oz-in-1a-3-7v-42x42x20mm-4-wires-17hs08-1004s,shipping included
MGN9H Rails and Blocks,5,16.74,83.70,"https://novo3d.in/mgn9h-linear-rail/, https://novo3d.in/linear-guide-rail/",Rail and block seperate
MGN12H Rail and Block,1,22.32,22.32,https://www.electronicscomp.com/mgn12h-linear-guide-rail-0.5m-with-sliding-block,
Lead Screw,2,3.46,6.91,https://novo3d.in/2-start-lead-screw/,
bed,,,,,
Heatbed 235 x 235,1,10.39,10.39,https://novo3d.in/3d-printer-heatbed-220x220mm/,
PEI magnetic,1,15.65,15.65,https://www.electronicscomp.com/two-trees-double-sided-pei-spring-steel-sheet-texturedpei-with-magnetic-base-size-220x220mm?srsltid=AfmBOorFoUqQ80BlCR9cjbN_DWA_CL6d1SQUMgiH62FZy47bAdOp6GUfdAY,
Springs,4,0.15,0.60,https://novo3d.in/leveling-spring/,
hotend,,,,,
hotend kit,1,12.21,12.21,https://evelta.com/ender-3-s1-sprite-heating-block-kit-extruder-hotend/,
heatsink kit,1,13.55,13.55,https://www.electropi.in/creality-hotend-accessory-kit?gPromoCode=EPJul2ndSale,
Bowden Coupler,1,0.23,0.23,https://techtonics.in/product/pneumatic-coupler-air-connectors-pc4-m10-4mm-straight-fitting-for-ptfe-bowden-tube-3d-printer/?srsltid=AfmBOoo3L_hecjwr4kFj9KgIrFDTzZEJT9zQzv7PbR2zD0y6YyTafqdl8Ds,
Mechanical,,,,,
Extruder Spring,1,0.15,0.15,https://novo3d.in/leveling-spring/,
51100 Thrust Bearing,8,0.61,4.89,https://omrook.com/51100-thrust-ball-bearing-id-10mm-od-24mm-th-9mm/?srsltid=AfmBOoqHgRL1BNgMST-Lm9QqrtDEH41ntRziQ7bV68ErPSpx0QQrfO5R5u4,
